JAMNYALA,KWHLWBP,KWHWBP,BLOK3,PEMKWH,RPLWBP,RPWBP,RPBLOK3,RPBEBAN,RPPTL,RPBPJU,RPPLN,RPTAG,RPTAG_MAT,RPREDUKSI,RPANGS,RPBK
262.22,30,30,58,118,5070.0,10800.0,28710.0,4950.0,49530.0,0.0,49530.0,156902.0,156902.0,0.0,1,0
140.0,30,30,3,63,5070.0,10800.0,1485.0,4950.0,22305.0,0.0,22305.0,22305.0,22305.0,0.0,0,1
64.44,29,0,0,29,4901.0,0.0,0.0,4950.0,9851.0,0.0,9851.0,9851.0,9851.0,0.0,0,0
131.11,30,29,0,59,5070.0,10440.0,0.0,4950.0,20460.0,0.0,20460.0,20460.0,20460.0,0.0,0,1
273.33,30,30,63,123,5070.0,10800.0,31185.0,4950.0,52005.0,0.0,52005.0,52005.0,52005.0,0.0,0,0
153.33,30,30,9,69,5070.0,10800.0,4455.0,4950.0,25275.0,0.0,25275.0,25275.0,25275.0,0.0,0,1
95.55,30,13,0,43,5070.0,4680.0,0.0,4950.0,14700.0,0.0,14700.0,14700.0,14700.0,0.0,0,1
233.33,30,30,45,105,5070.0,10800.0,22275.0,4950.0,43095.0,0.0,43095.0,43095.0,43095.0,0.0,0,1
80.0,30,6,0,36,5070.0,2160.0,0.0,4950.0,12180.0,0.0,12180.0,12180.0,12180.0,0.0,0,1
117.77,30,23,0,53,5070.0,8280.0,0.0,4950.0,18300.0,1098.0,18300.0,19398.0,19398.0,0.0,0,1
208.88,30,30,34,94,5070.0,10800.0,16830.0,4950.0,37650.0,2259.0,37650.0,39909.0,39909.0,0.0,0,1
495.55,30,30,163,223,5070.0,10800.0,80685.0,4950.0,101505.0,0.0,101505.0,101505.0,101505.0,0.0,0,1
191.11,30,30,26,86,5070.0,10800.0,12870.0,4950.0,33690.0,0.0,33690.0,33690.0,33690.0,0.0,0,1
235.55,30,30,46,106,5070.0,10800.0,22770.0,4950.0,43590.0,0.0,43590.0,43590.0,43590.0,0.0,0,1
244.44,30,30,50,110,5070.0,10800.0,24750.0,4950.0,45570.0,0.0,45570.0,45570.0,45570.0,0.0,0,1
144.44,30,30,5,65,5070.0,10800.0,2475.0,4950.0,23295.0,0.0,23295.0,23295.0,23295.0,0.0,0,1
68.88,30,1,0,31,5070.0,360.0,0.0,4950.0,10380.0,0.0,10380.0,10380.0,10380.0,0.0,0,1
266.66,30,30,60,120,5070.0,10800.0,29700.0,4950.0,50520.0,0.0,50520.0,50520.0,50520.0,0.0,0,1
197.77,30,30,29,89,5070.0,10800.0,14355.0,4950.0,35175.0,0.0,35175.0,35175.0,35175.0,0.0,0,1
264.44,30,30,59,119,5070.0,10800.0,29205.0,4950.0,50025.0,3002.0,50025.0,53027.0,53027.0,0.0,0,1
291.11,30,30,71,131,5070.0,10800.0,35145.0,4950.0,55965.0,0.0,55965.0,55965.0,55965.0,0.0,0,1
6.66,3,0,0,3,507.0,0.0,0.0,4950.0,5457.0,0.0,5457.0,5457.0,5457.0,0.0,0,1
217.77,30,30,38,98,5070.0,10800.0,18810.0,4950.0,39630.0,0.0,39630.0,39630.0,39630.0,0.0,0,1
873.33,30,30,333,393,5070.0,10800.0,164835.0,4950.0,185655.0,0.0,185655.0,185655.0,185655.0,0.0,0,1
75.55,30,4,0,34,5070.0,1440.0,0.0,4950.0,11460.0,0.0,11460.0,11460.0,11460.0,0.0,0,1
266.66,30,30,60,120,5070.0,10800.0,29700.0,4950.0,50520.0,0.0,50520.0,50520.0,50520.0,0.0,0,1
82.22,30,7,0,37,5070.0,2520.0,0.0,4950.0,12540.0,0.0,12540.0,12540.0,12540.0,0.0,0,1
293.33,30,30,72,132,5070.0,10800.0,35640.0,4950.0,56460.0,0.0,56460.0,56460.0,56460.0,0.0,0,0
251.11,30,30,53,113,5070.0,10800.0,26235.0,4950.0,47055.0,2823.0,47055.0,49878.0,49878.0,0.0,0,1
44.44,20,0,0,20,3380.0,0.0,0.0,4950.0,8330.0,500.0,8330.0,8830.0,8830.0,0.0,0,1
315.55,30,30,82,142,5070.0,10800.0,40590.0,4950.0,61410.0,0.0,61410.0,61410.0,61410.0,0.0,0,1
468.88,30,30,151,211,5070.0,10800.0,74745.0,4950.0,95565.0,0.0,95565.0,95565.0,95565.0,0.0,0,0
435.55,30,30,136,196,5070.0,10800.0,67320.0,4950.0,88140.0,0.0,88140.0,88140.0,88140.0,0.0,0,0
2.22,1,0,0,1,169.0,0.0,0.0,4950.0,5119.0,0.0,5119.0,5119.0,5119.0,0.0,0,1
222.22,30,30,40,100,5070.0,10800.0,19800.0,4950.0,40620.0,0.0,40620.0,40620.0,40620.0,0.0,0,1
135.55,30,30,1,61,5070.0,10800.0,495.0,4950.0,21315.0,0.0,21315.0,21315.0,21315.0,0.0,0,1
213.33,30,30,36,96,5070.0,10800.0,17820.0,4950.0,38640.0,0.0,38640.0,38640.0,38640.0,0.0,0,1
266.66,30,30,60,120,5070.0,10800.0,29700.0,4950.0,50520.0,0.0,50520.0,50520.0,50520.0,0.0,0,1
106.66,30,18,0,48,5070.0,6480.0,0.0,4950.0,16500.0,0.0,16500.0,16500.0,16500.0,0.0,0,1
166.66,30,30,15,75,5070.0,10800.0,7425.0,4950.0,28245.0,0.0,28245.0,28245.0,28245.0,0.0,0,1
115.55,30,22,0,52,5070.0,7920.0,0.0,4950.0,17940.0,0.0,17940.0,17940.0,17940.0,0.0,0,1
